"zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes"
"05340","STANDARD","Bondville","Winhall",,"VT","Bennington County","America/New_York","802","43.16","-72.93","NA","US","0","720",
"05341","STANDARD","East Dover",,,"VT","Windham County","America/New_York","802","42.96","-72.78","NA","US","0","0",
"05342","STANDARD","Jacksonville",,,"VT","Windham County","America/New_York","802","42.79","-72.82","NA","US","0","572",
"05343","STANDARD","Jamaica",,"East Jamaica, Pikes Falls","VT","Windham County","America/New_York","802","43.1","-72.8","NA","US","0","697",
"05344","PO BOX","Marlboro",,"Marlboro College","VT","Windham County","America/New_York","802","42.86","-72.72","NA","US","0","431",
"05345","STANDARD","Newfane","Brookline",,"VT","Windham County","America/New_York","802","42.98","-72.65","NA","US","0","1416",
"05346","STANDARD","Putney","E Dummerston, Westminster W, Westminster West","East Putney","VT","Windham County","America/New_York","802","42.97","-72.52","NA","US","0","4067",
"05350","STANDARD","Readsboro",,"Heartwellville","VT","Bennington County","America/New_York","802","42.77","-72.94","NA","US","0","636",
"05351","STANDARD","South Newfane",,,"VT","Windham County","America/New_York","802","42.94","-72.7","NA","US","0","0",
"05352","STANDARD","Stamford","Readsboro",,"VT","Bennington County","America/New_York","802","42.77","-72.94","NA","US","0","757",
"05353","STANDARD","Townshend",,"Harmonyville, Mary Meyer, Simpsonville","VT","Windham County","America/New_York","802","43.04","-72.66","NA","US","0","857",
"05354","STANDARD","Vernon",,,"VT","Windham County","America/New_York","802","42.78","-72.52","NA","US","0","1940",
"05355","STANDARD","Wardsboro",,"South Wardsboro, Wardsborough","VT","Windham County","America/New_York","802","43.02","-72.8","NA","US","0","0",
"05356","STANDARD","West Dover","Mount Snow","Mt Snow, W Dover","VT","Windham County","America/New_York","802","42.96","-72.91","NA","US","0","1043",
"05357","PO BOX","West Dummerston","W Dummerston",,"VT","Windham County","America/New_York","802","42.92","-72.61","NA","US","0","0",
"05358","STANDARD","West Halifax",,"Halifax","VT","Windham County","America/New_York","802","42.76","-72.72","NA","US","0","0",
"05359","STANDARD","West Townshend","W Townshend, Windham","South Windham, Townshend","VT","Windham County","America/New_York","802","43.13","-72.71","NA","US","0","447",
"05360","STANDARD","West Wardsboro","Stratton, W Wardsboro",,"VT","Windham County","America/New_York","802","43.02","-72.85","NA","US","0","0",
"05361","STANDARD","Whitingham",,,"VT","Windham County","America/New_York","802","42.78","-72.87","NA","US","0","601",
"05362","STANDARD","Williamsville",,,"VT","Windham County","America/New_York","802","42.94","-72.65","NA","US","0","0",
"05363","STANDARD","Wilmington","Searsburg, West Marlboro","Medburyville","VT","Windham County","America/New_York","802","42.86","-72.87","NA","US","0","1949",
"05401","STANDARD","Burlington",,"Btv, Burl, Burlingtn, Burlngtn","VT","Chittenden County","America/New_York","802","44.48","-73.22","NA","US","0","16845",
"05402","PO BOX","Burlington",,,"VT","Chittenden County","America/New_York","802","44.48","-73.22","NA","US","0","728",
"05403","STANDARD","South Burlington","S Burlington","Burlington, Queen City, Queen City Park, S Btv, S Burl, So Burlington","VT","Chittenden County","America/New_York","802","44.44","-73.21","NA","US","0","15655",
"05404","STANDARD","Winooski",,,"VT","Chittenden County","America/New_York","802","44.49","-73.18","NA","US","0","5309",
"05405","UNIQUE","Burlington",,"Univ Of Vermont, Uvm","VT","Chittenden County","America/New_York","802","44.48","-73.22","NA","US","0","0",
"05406","PO BOX","Burlington",,,"VT","Chittenden County","America/New_York","802","44.48","-73.22","NA","US","0","0",
"05407","PO BOX","South Burlington","S Burlington","Burlington, So Burlington","VT","Chittenden County","America/New_York","802","44.44","-73.21","NA","US","0","0",
"05408","STANDARD","Burlington",,"Burl, Burlngtn, N Burlington, North Burlington","VT","Chittenden County","America/New_York","802","44.48","-73.27","NA","US","0","8454","no NWS data, "
"05439","UNIQUE","Colchester",,"St Michaels College","VT","Chittenden County","America/New_York","802","44.53","-73.15","NA","US","0","0",
"05440","STANDARD","Alburgh","Alburg",,"VT","Grand Isle County","America/New_York","802","44.97","-73.3","NA","US","0","1781",
"05441","STANDARD","Bakersfield",,,"VT","Franklin County","America/New_York","802","44.78","-72.8","NA","US","0","602",
"05442","STANDARD","Belvidere Center","Belvidere Ctr","Belvidere, Belvidere Corners","VT","Lamoille County","America/New_York","802","44.75","-72.68","NA","US","0","0",
